data_source,region,sex,age,population
census,lesotho,female,0,105182.0
census,lesotho,female,5,101358.0
census,lesotho,female,10,99781.0
census,lesotho,female,15,100626.0
census,lesotho,female,20,96826.0
census,lesotho,female,25,96986.0
census,lesotho,female,30,95509.0
census,lesotho,female,35,86104.0
census,lesotho,female,40,56620.0
census,lesotho,female,45,31654.0
census,lesotho,female,50,25028.0
census,lesotho,female,55,24195.0
census,lesotho,female,60,21531.0
census,lesotho,female,65,17004.0
census,lesotho,female,70,13554.0
census,lesotho,female,75,9885.0
census,lesotho,female,80,12832.0
census,lesotho,male,0,107656.0
census,lesotho,male,5,102975.0
census,lesotho,male,10,99360.0
census,lesotho,male,15,95928.0
census,lesotho,male,20,85946.0
census,lesotho,male,25,82558.0
census,lesotho,male,30,83248.0
census,lesotho,male,35,78878.0
census,lesotho,male,40,59816.0
census,lesotho,male,45,38296.0
census,lesotho,male,50,30527.0
census,lesotho,male,55,28041.0
census,lesotho,male,60,24400.0
census,lesotho,male,65,19862.0
census,lesotho,male,70,15707.0
census,lesotho,male,75,10809.0
census,lesotho,male,80,10652.0
census,Berea,female,0,6316.0
census,Berea,female,5,6370.0
census,Berea,female,10,6066.0
census,Berea,female,15,5851.0
census,Berea,female,20,5457.0
census,Berea,female,25,5487.0
census,Berea,female,30,5449.0
census,Berea,female,35,4826.0
census,Berea,female,40,3186.0
census,Berea,female,45,1833.0
census,Berea,female,50,1516.0
census,Berea,female,55,1454.0
census,Berea,female,60,1340.0
census,Berea,female,65,1051.0
census,Berea,female,70,912.0
census,Berea,female,75,562.0
census,Berea,female,80,774.0
census,Berea,male,0,6333.0
census,Berea,male,5,6181.0
census,Berea,male,10,5908.0
census,Berea,male,15,5290.0
census,Berea,male,20,4781.0
census,Berea,male,25,4840.0
census,Berea,male,30,4969.0
census,Berea,male,35,4648.0
census,Berea,male,40,3503.0
census,Berea,male,45,2187.0
census,Berea,male,50,1865.0
census,Berea,male,55,1783.0
census,Berea,male,60,1508.0
census,Berea,male,65,1265.0
census,Berea,male,70,987.0
census,Berea,male,75,670.0
census,Berea,male,80,693.0
census,Butha-Buthe,female,0,17911.0
census,Butha-Buthe,female,5,17408.0
census,Butha-Buthe,female,10,17057.0
census,Butha-Buthe,female,15,17277.0
census,Butha-Buthe,female,20,16759.0
census,Butha-Buthe,female,25,17073.0
census,Butha-Buthe,female,30,16896.0
census,Butha-Buthe,female,35,15195.0
census,Butha-Buthe,female,40,9991.0
census,Butha-Buthe,female,45,5676.0
census,Butha-Buthe,female,50,4344.0
census,Butha-Buthe,female,55,4322.0
census,Butha-Buthe,female,60,3743.0
census,Butha-Buthe,female,65,2889.0
census,Butha-Buthe,female,70,2276.0
census,Butha-Buthe,female,75,1545.0
census,Butha-Buthe,female,80,2110.0
census,Butha-Buthe,male,0,18294.0
census,Butha-Buthe,male,5,17860.0
census,Butha-Buthe,male,10,16616.0
census,Butha-Buthe,male,15,16536.0
census,Butha-Buthe,male,20,14654.0
census,Butha-Buthe,male,25,14331.0
census,Butha-Buthe,male,30,14608.0
