data_source,region,age,population
census,LESOTHO,children_under_five,417171.0
census,LESOTHO,youth_15_24,558870.0
census,LESOTHO,elderly_60_plus,1132277.0
census,BEREA,children_under_five,25200.0
census,BEREA,youth_15_24,31706.0
census,BEREA,elderly_60_plus,66668.0
census,BUTHA-BUTHE,children_under_five,71473.0
census,BUTHA-BUTHE,youth_15_24,96630.0
census,BUTHA-BUTHE,elderly_60_plus,194701.0
census,LERIBE,children_under_five,53052.0
census,LERIBE,youth_15_24,71122.0
census,LERIBE,elderly_60_plus,144627.0
census,MAFETENG,children_under_five,105680.0
census,MAFETENG,youth_15_24,158768.0
census,MAFETENG,elderly_60_plus,299188.0
census,MASERU,children_under_five,33728.0
census,MASERU,youth_15_24,45596.0
census,MASERU,elderly_60_plus,94995.0
census,MOHALE'S HOEK,children_under_five,32724.0
census,MOHALE'S HOEK,youth_15_24,42414.0
census,MOHALE'S HOEK,elderly_60_plus,89603.0
census,MOKHOTLONG,children_under_five,23194.0
census,MOKHOTLONG,youth_15_24,30595.0
census,MOKHOTLONG,elderly_60_plus,63340.0
census,QACHA'S NEK,children_under_five,16421.0
census,QACHA'S NEK,youth_15_24,20471.0
census,QACHA'S NEK,elderly_60_plus,42954.0
census,QUTHING,children_under_five,23399.0
census,QUTHING,youth_15_24,26521.0
census,QUTHING,elderly_60_plus,57507.0
census,THABA-TSEKA,children_under_five,32300.0
census,THABA-TSEKA,youth_15_24,35047.0
census,THABA-TSEKA,elderly_60_plus,78694.0
worldpop,LESOTHO,children_under_five,458908.6653125
worldpop,LESOTHO,youth_15_24,574258.5234375
worldpop,LESOTHO,elderly_60_plus,1156764.2356250002
worldpop,BEREA,children_under_five,66561.10999999999
worldpop,BEREA,youth_15_24,85856.73999999999
worldpop,BEREA,elderly_60_plus,170505.5
worldpop,BUTHA-BUTHE,children_under_five,26699.68
worldpop,BUTHA-BUTHE,youth_15_24,33654.71
worldpop,BUTHA-BUTHE,elderly_60_plus,67660.20999999999
worldpop,LERIBE,children_under_five,66483.76
worldpop,LERIBE,youth_15_24,83629.3
worldpop,LERIBE,elderly_60_plus,168406.02000000002
worldpop,MAFETENG,children_under_five,38417.28
worldpop,MAFETENG,youth_15_24,50402.87
worldpop,MAFETENG,elderly_60_plus,100850.15
worldpop,MASERU,children_under_five,101703.22
worldpop,MASERU,youth_15_24,152019.75
worldpop,MASERU,elderly_60_plus,279574.61
worldpop,MOHALE'S HOEK,children_under_five,40232.45
worldpop,MOHALE'S HOEK,youth_15_24,47786.5
worldpop,MOHALE'S HOEK,elderly_60_plus,99956.69
worldpop,MOKHOTLONG,children_under_five,33693.9
worldpop,MOKHOTLONG,youth_15_24,31973.01
worldpop,MOKHOTLONG,elderly_60_plus,73130.03
worldpop,QACHA'S NEK,children_under_five,18513.27
worldpop,QACHA'S NEK,youth_15_24,20435.47
worldpop,QACHA'S NEK,elderly_60_plus,43760.8
worldpop,QUTHING,children_under_five,29250.870000000003
worldpop,QUTHING,youth_15_24,34004.4
worldpop,QUTHING,elderly_60_plus,72087.51
worldpop,THABA-TSEKA,children_under_five,37307.5
worldpop,THABA-TSEKA,youth_15_24,34443.24
worldpop,THABA-TSEKA,elderly_60_plus,80722.61
facebook,LESOTHO,children_under_five,233385.09000000003
facebook,LESOTHO,youth_15_24,505863.6600000001
facebook,LESOTHO,elderly_60_plus,165389.48
facebook,BEREA,children_under_five,1833.24
facebook,BEREA,youth_15_24,4331.45
facebook,BEREA,elderly_60_plus,1259.41
facebook,BUTHA-BUTHE,children_under_five,15788.51
facebook,BUTHA-BUTHE,youth_15_24,34634.4
facebook,BUTHA-BUTHE,elderly_60_plus,11211.13
facebook,LERIBE,children_under_five,38722.45
facebook,LERIBE,youth_15_24,86955.71
facebook,LERIBE,elderly_60_plus,28280.16
facebook,MAFETENG,children_under_five,22381.4
facebook,MAFETENG,youth_15_24,53320.21
facebook,MAFETENG,elderly_60_plus,18523.63
facebook,MASERU,children_under_five,61462.73
facebook,MASERU,youth_15_24,149906.93
facebook,MASERU,elderly_60_plus,40058.49
facebook,MOHALE'S HOEK,children_under_five,23763.89
facebook,MOHALE'S HOEK,youth_15_24,50275.03
facebook,MOHALE'S HOEK,elderly_60_plus,18633.22
facebook,MOKHOTLONG,children_under_five,20139.79
facebook,MOKHOTLONG,youth_15_24,33198.1
facebook,MOKHOTLONG,elderly_60_plus,11840.14
facebook,QACHA'S NEK,children_under_five,10582.78
facebook,QACHA'S NEK,youth_15_24,21229.72
facebook,QACHA'S NEK,elderly_60_plus,7640.28
facebook,QUTHING,children_under_five,16979.38
facebook,QUTHING,youth_15_24,36267.21
facebook,QUTHING,elderly_60_plus,13818.37
facebook,THABA-TSEKA,children_under_five,21730.92
facebook,THABA-TSEKA,youth_15_24,35744.9
facebook,THABA-TSEKA,elderly_60_plus,14124.65
